title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
American Hot Wax,N/A,N/A,"$28,577,600",Paramount,"March 17, 1978",Unknown,1 hrs. 31 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Hustle,David O. Russell,N/A,"$156,970,900",Sony / Columbia,"December 13, 2013",Drama,2 hrs. 18 min.,R,$40 million,"$251,171,807",Christian Bale,Bradley Cooper,Amy Adams,Jeremy Renner,Jennifer Lawrence,Robert DeNiro,Bradley Cooper,Megan Ellison,Charles Roven,Eric Warren Singer,N/A,N/A,David O. Russell,Eric Warren Singer,Danny Elfman,N/A
American Made Movie,N/A,N/A,"$48,600",Variance Films,"August 30, 2013",Documentary,1 hrs. 22 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Me,N/A,N/A,"$26,582,800",Universal,"March 13, 1992",Crime Drama,2 hrs. 6 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Meat,N/A,N/A,"$11,300",Leave It Better,"April 12, 2013",Documentary,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Movie,N/A,N/A,"$1,853,100",Sony Classics,"November 5, 1999",Documentary,1 hrs. 47 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Mustang,N/A,N/A,"$51,100",Vitagraph,"January 17, 2014",Family,N/A,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Ninja,N/A,N/A,"$24,933,100",Cannon Films,"August 30, 1985",Action,1 hrs. 35 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Ninja 2,N/A,N/A,"$8,624,000",Cannon Films,"May 1, 1987",Action,1 hrs. 29 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Ninja 3:<br/>Blood Hunt,N/A,N/A,"$1,915,700",Cannon Films,"February 24, 1989",Action,1 hrs. 30 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Ninja 4:<br/>The Annihilation,N/A,N/A,"$716,900",Cannon Films,"March 8, 1991",Action,1 hrs. 39 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Outlaws,N/A,N/A,"$19,872,700",Warner Bros.,"August 17, 2001",Western,1 hrs. 34 min.,PG-13,N/A,"$13,678,913",Colin Farrell,Ali Larter,Kathy Bates,N/A,N/A,N/A,Bill Gerber,James G. Robinson,N/A,N/A,N/A,N/A,N/A,N/A,Trevor Rabin,N/A
American Pastoral,Ewan McGregor,N/A,"$521,800",Lionsgate,"October 21, 2016",Drama,1 hrs. 48 min.,R,N/A,"$544,098",Ewan McGregor,Jennifer Connelly,Dakota Fanning,N/A,N/A,N/A,Gary Lucchesi,Tom Rosenberg,N/A,N/A,N/A,N/A,John Romano,N/A,N/A,N/A
American Pie,Paul Weitz,Chris Weitz*,"$170,194,700",Universal,"July 9, 1999",Comedy,1 hrs. 35 min.,R,$11 million,"$235,483,004",Chris Klein,Jennifer Coolidge*,N/A,N/A,N/A,N/A,Chris Bender*,Chris Moore,Chris Weitz,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Pie 2,N/A,N/A,"$216,117,200",Universal,"August 10, 2001",Comedy,1 hrs. 44 min.,R,$30 million,"$287,553,595",Chris Klein,Jennifer Coolidge*,Adam Brody*,Casey Affleck*,N/A,N/A,Chris Bender*,Chris Moore,Chris Weitz,Paul Weitz,N/A,N/A,David H. Steinberg,N/A,N/A,N/A
American Pimp,Albert Hughes,Allen Hughes,"$450,000",7th Art,"June 9, 2000",Documentary,1 hrs. 27 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Albert Hughes,Allen Hughes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The American President,Rob Reiner,N/A,"$116,027,000",Sony / Columbia,"November 17, 1995",Romantic Comedy,1 hrs. 54 min.,PG-13,N/A,"$107,879,496",Michael Douglas,Annette Bening,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Aaron Sorkin,N/A,Marc Shaiman,N/A
American Promise,N/A,N/A,"$148,600",Rada Film Group,"October 18, 2013",Documentary,2 hrs. 15 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Psycho,N/A,N/A,"$23,570,000",Lions Gate,"April 14, 2000",Thriller,1 hrs. 44 min.,R,$7 million,"$34,266,564",Christian Bale,Willem Dafoe,Josh Lucas,Chloe Sevigny,Reese Witherspoon,Jared Leto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Reunion,Jon Hurwitz,Hayden Schlossberg,"$59,188,100",Universal,"April 6, 2012",Comedy,1 hrs. 53 min.,R,$50 million,"$234,989,584",Chris Klein,Jennifer Coolidge*,N/A,N/A,N/A,N/A,Chris Moore,Chris Weitz,Paul Weitz,N/A,N/A,N/A,Jon Hurwitz,Hayden Schlossberg,Lyle Workman,N/A
An American Rhapsody,N/A,N/A,"$1,266,400",Paramount Classics,"August 10, 2001",Drama,1 hrs. 46 min.,PG-13,N/A,"$850,255",Scarlett Johansson,Emmy Rossum*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cliff Eidelman,N/A
American Sniper,Clint Eastwood,N/A,"$363,164,400",Warner Bros.,"December 25, 2014",Drama,2 hrs. 12 min.,R,$58.8 million,"$547,426,372",Bradley Cooper,Kyle Gallner,N/A,N/A,N/A,N/A,Bradley Cooper,Clint Eastwood,Jason Dean Hall,Andrew Lazar,Robert Lorenz,Tim Moore,Jason Dean Hall,N/A,N/A,N/A
American Splendor,N/A,N/A,"$8,403,400",Fine Line,"August 15, 2003",Comedy,1 hrs. 41 min.,R,N/A,"$7,986,084",Paul Giamatti,Josh Hutcherson*,N/A,N/A,N/A,N/A,Ted Hope,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Storytellers,N/A,N/A,"$32,900",Indican,"November 7, 2003",Documentary,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Strays,N/A,N/A,"$3,600",Unapix Ent.,"September 13, 1996",Unknown,1 hrs. 37 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Swing,N/A,N/A,"$35,400",Magnolia,"March 27, 2009",Documentary,1 hrs. 21 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
An American Tail,Don Bluth,N/A,"$105,646,000",Universal,"November 21, 1986",Animation,1 hrs. 21 min.,G,N/A,"$84,542,002",N/A,N/A,N/A,N/A,N/A,N/A,Kathleen Kennedy,Frank Marshall,Steven Spielberg,N/A,N/A,N/A,N/A,N/A,James Horner,N/A
An American Tail:<br/>Fievel Goes West,Simon Wells,N/A,"$44,630,300",Universal,"November 22, 1991",Animation,1 hrs. 16 min.,G,N/A,"$40,766,041",N/A,N/A,N/A,N/A,N/A,N/A,Kathleen Kennedy,Steven Spielberg,N/A,N/A,N/A,N/A,N/A,N/A,James Horner,N/A
American Teacher,N/A,N/A,"$35,700",First Run,"September 30, 2011",Documentary,1 hrs. 21 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Teen,Nanette Burstein,N/A,"$1,106,500",Paramount Vantage,"July 25, 2008",Documentary,1 hrs. 35 min.,PG-13,N/A,"$1,130,270",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nanette Burstein,N/A,N/A,N/A
American Ultra,Nima Nourizadeh,N/A,"$14,751,400",Lionsgate,"August 21, 2015",Action Comedy,1 hrs. 36 min.,R,$28 million,"$27,139,524",Jesse Eisenberg,Kristen Stewart,Topher Grace,John Leguizamo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Max Landis,N/A,N/A,N/A
American Violet,N/A,N/A,"$626,500",Samuel Goldwyn,"April 17, 2009",Drama,1 hrs. 43 min.,PG-13,N/A,N/A,Anthony Mackie*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Teddy Castellucci,N/A
American Wedding,N/A,N/A,"$146,183,100",Universal,"August 1, 2003",Comedy,1 hrs. 42 min.,R,$55 million,"$231,449,203",Jennifer Coolidge*,January Jones,N/A,N/A,N/A,N/A,Chris Bender,Chris Moore,Chris Weitz,Paul Weitz,N/A,N/A,N/A,N/A,Christophe Beck,N/A
An American Werewolf in London,John Landis,N/A,"$92,685,400",Universal,"August 21, 1981",Horror Comedy,1 hrs. 33 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jon Peters,N/A,N/A,N/A,N/A,N/A,John Landis,N/A,Elmer Bernstein,N/A
An American Werewolf in Paris,N/A,N/A,"$47,891,400",Buena Vista,"December 25, 1997",Horror Comedy,1 hrs. 38 min.,R,$25 million,N/A,Julie Delpy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Zombie,N/A,N/A,"$3,700",Cinema Libre Studio,"March 28, 2008",Horror Comedy,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American:<br/>The Bill Hicks Story,N/A,N/A,"$96,500",Variance Films,"April 8, 2011",Documentary,1 hrs. 42 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Americanizing Shelley,N/A,N/A,"$156,900",Rocky Mountain Pictures,"April 26, 2007",Comedy,1 hrs. 30 min.,PG,N/A,"$182,831",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Americathon,N/A,N/A,"$20,728,300",MGM,"August 10, 1979",Unknown,1 hrs. 26 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joe Roth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Americons,N/A,N/A,"$29,900",Archstone,"January 23, 2015",Thriller,1 hrs. 25 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AmeriGeddon,N/A,N/A,"$305,700",Forewarned,"May 13, 2016",Action,1 hrs. 30 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amexicano,N/A,N/A,"$10,200",Maya Entertainment,"September 19, 2008",Drama,1 hrs. 24 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amigo,N/A,N/A,"$196,800",Variance Films,"August 19, 2011",Drama,2 hrs. 7 min.,Unrated,$1.5 million,N/A,Dane DeHaan,Chris Cooper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amira &amp; Sam,N/A,N/A,"$33,100",Drafthouse,"January 30, 2015",Romantic Comedy,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,James Ponsoldt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amistad,Steven Spielberg,N/A,"$79,992,900",DreamWorks,"December 10, 1997",Period Drama,2 hrs. 32 min.,R,$36 million,N/A,Morgan Freeman,Anthony Hopkins,Matthew McConaughey,Stellan Skarsgard*,Anna Paquin*,N/A,Steven Spielberg,Colin Wilson,N/A,N/A,N/A,N/A,David Franzoni,N/A,John Williams,N/A
Amityville 3-D,N/A,N/A,"$16,948,700",Orion Pictures,"November 18, 1983",Unknown,1 hrs. 33 min.,PG,N/A,N/A,Meg Ryan*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Amityville Horror,N/A,N/A,"$290,287,600",American International Pictures,"July 27, 1979",Horror,1 hrs. 59 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Amityville Horror (2005),N/A,N/A,"$85,790,500",MGM,"April 15, 2005",Horror,1 hrs. 29 min.,R,$19 million,"$108,047,131",Ryan Reynolds,Chloe Moretz,N/A,N/A,N/A,N/A,Michael Bay,Randall Emmett,Ted Field,Andrew Form,Brad Fuller,George Furla,N/A,N/A,Steve Jablonsky,N/A
Amityville II:<br/>The Possession,N/A,N/A,"$35,941,700",Orion Pictures,"September 24, 1982",Horror,1 hrs. 44 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Among Giants,N/A,N/A,"$109,100",Fox Searchlight,"March 26, 1999",Unknown,1 hrs. 33 min.,R,N/A,N/A,Andy Serkis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Simon Beaufoy,N/A,N/A,N/A
Among the Believers,N/A,N/A,"$4,000",First Run,"September 30, 2016",Documentary,1 hrs. 24 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amongst Friends,N/A,N/A,"$539,600",Fine Line,"July 23, 1993",Unknown,1 hrs. 28 min.,R,"$1,000,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amores Perros,Alejandro González Iñárritu,N/A,"$8,055,400",Lions Gate,"March 30, 2001",Foreign,2 hrs. 33 min.,R,N/A,"$20,908,467",Gael Garcia Bernal,N/A,N/A,N/A,N/A,N/A,Alejandro González Iñárritu,N/A,N/A,N/A,N/A,N/A,Guillermo Arriaga,N/A,N/A,N/A
Amos &amp; Andrew,N/A,N/A,"$19,844,700",Columbia,"March 5, 1993",Crime Comedy,1 hrs. 36 min.,PG-13,N/A,N/A,Nicolas Cage,Samuel L. Jackson,N/A,N/A,N/A,N/A,Gary Goetzman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amos Kolleck's Bad Girls,N/A,N/A,"$28,900",Castle Hill,"January 28, 1994",Unknown,1 hrs. 25 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amour,Michael Haneke,N/A,"$7,146,500",Sony Classics,"December 19, 2012",Foreign,2 hrs. 5 min.,PG-13,$8.9 million,"$19,839,492",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michael Haneke,N/A,N/A,N/A
Amour Fou,N/A,N/A,"$14,000",Film Movement,"March 18, 2015",Foreign,1 hrs. 36 min.,Unrated,N/A,"$13,702",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amreeka,N/A,N/A,"$699,400",National Geographic Entertainment,"September 4, 2009",Comedy,1 hrs. 36 min.,PG-13,N/A,"$2,176,304",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amsterdamned,N/A,N/A,"$201,000",Vestron,"November 23, 1988",Unknown,1 hrs. 45 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amu,N/A,N/A,"$62,800",Emerging Pictures,"May 25, 2007",Drama,1 hrs. 42 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amusement,N/A,N/A,N/A,Picturehouse,N/A,Horror,1 hrs. 25 min.,R,N/A,"$170,255",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amy,N/A,N/A,"$8,588,900",A24,"July 3, 2015",Documentary,2 hrs. 8 min.,R,N/A,"$8,413,144",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amy's Orgasm,N/A,N/A,"$173,600",Magic Lamp,"August 23, 2002",Romantic Comedy,1 hrs. 25 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anaconda,N/A,N/A,"$121,005,900",Sony / Columbia,"April 11, 1997",Horror,1 hrs. 29 min.,PG-13,N/A,"$136,885,767",Ice Cube,Jennifer Lopez,Jon Voight,Owen Wilson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Randy Edelman,N/A
Anacondas:<br/>The Hunt for the Blood Orchid,N/A,N/A,"$43,764,000",Sony / Screen Gems,"August 27, 2004",Horror,1 hrs. 33 min.,PG-13,$20 million,"$70,992,898",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Analyze That,Harold Ramis,N/A,"$46,284,400",Warner Bros.,"December 6, 2002",Crime Comedy,1 hrs. 40 min.,R,$60 million,"$55,003,135",Robert DeNiro,Billy Crystal,Lisa Kudrow,Demetri Martin*,N/A,N/A,Barry Levinson*,N/A,N/A,N/A,N/A,N/A,Kenneth Lonergan,Harold Ramis,David Holmes,N/A
Analyze This,Harold Ramis,N/A,"$177,371,300",Warner Bros.,"March 5, 1999",Crime Comedy,1 hrs. 43 min.,R,$80 million,"$176,885,658",Billy Crystal,Robert DeNiro,Lisa Kudrow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kenneth Lonergan,Harold Ramis,Howard Shore,N/A
Anamorph,N/A,N/A,"$8,200",IFC,"April 18, 2008",Drama / Thriller,1 hrs. 43 min.,R,N/A,"$674,839",Willem Dafoe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Anarchist Cookbook,N/A,N/A,"$20,100",Innovation Film Group,"July 18, 2003",Unknown,1 hrs. 41 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anastasia,Don Bluth,N/A,"$106,791,200",Fox,"November 14, 1997",Animation,1 hrs. 34 min.,G,N/A,"$139,804,348",Meg Ryan*,John Cusack*,Kelsey Grammer*,Kirsten Dunst*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anatahan (2017 re-release),N/A,N/A,"$48,600",Kino Lorber,"February 3, 2017",War,1 hrs. 32 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anatomy,N/A,N/A,"$15,100",Sony / Columbia,"September 8, 2000",Foreign,1 hrs. 43 min.,R,N/A,"$10,501,958",Franka Potente,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anatomy 2,N/A,N/A,$800,Strand,"August 13, 2004",Foreign,1 hrs. 41 min.,R,N/A,$623,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anatomy of Hell,N/A,N/A,"$46,700",Tartan,"September 24, 2004",Foreign,1 hrs. 20 min.,Unrated,N/A,"$34,506",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anchor Baby,Lonzo Nzekwe,N/A,"$16,800",Alpha Galore,"July 8, 2011",Drama / Thriller,1 hrs. 35 min.,Unrated,N/A,"$176,632",N/A,N/A,N/A,N/A,N/A,N/A,Lonzo Nzekwe,N/A,N/A,N/A,N/A,N/A,Lonzo Nzekwe,N/A,N/A,N/A
Anchorman 2 (R-Rated Extended Cut),N/A,N/A,"$2,313,300",Paramount,"February 28, 2014",Comedy,2 hrs. 23 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anchorman 2:<br/>The Legend Continues,Adam McKay,N/A,"$129,417,100",Paramount,"December 18, 2013",Comedy,1 hrs. 59 min.,PG-13,$50 million,"$173,649,015",Will Ferrell,Paul Rudd,Steve Carell,Kristen Wiig,Christina Applegate,James Marsden,Judd Apatow,Will Ferrell,Adam McKay,N/A,N/A,N/A,Will Ferrell,Adam McKay,N/A,N/A
Anchorman:<br/>The Legend of Ron Burgundy,Adam McKay,N/A,"$115,777,800",DreamWorks,"July 9, 2004",Comedy,1 hrs. 31 min.,PG-13,$26 million,"$90,574,188",Will Ferrell,Christina Applegate,Paul Rudd,Steve Carell,Vince Vaughn*,Tim Robbins*,Judd Apatow,Shauna Robertson,David O. Russell,N/A,N/A,N/A,Adam McKay,N/A,Alex Wurman,N/A
And Everything is Going Fine,Steven Soderbergh,N/A,"$23,200",IFC,"December 10, 2010",Documentary,1 hrs. 29 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And God Created Woman,N/A,N/A,"$1,471,400",Vestron,"March 4, 1988",Unknown,1 hrs. 40 min.,R,N/A,N/A,Frank Langella,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And God Spoke,N/A,N/A,"$117,900",Artisan,"September 23, 1994",Unknown,1 hrs. 22 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And Now Ladies and Gentlemen,N/A,N/A,"$1,030,100",Paramount Classics,"August 1, 2003",Romance,2 hrs. 6 min.,PG-13,N/A,"$736,872",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And So It Goes,Rob Reiner,N/A,"$15,817,100",Clarius Entertainment,"July 25, 2014",Comedy / Drama,1 hrs. 34 min.,PG-13,N/A,"$25,312,387",Michael Douglas,Diane Keaton,N/A,N/A,N/A,N/A,Rob Reiner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marc Shaiman,N/A
And Then Came Love,N/A,N/A,"$17,100",Fox Meadows Films,"June 1, 2007",Romantic Comedy,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And They're Off,N/A,N/A,"$5,500",Kinobild Releasing,"October 28, 2011",Comedy,1 hrs. 30 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And While We Were Here,N/A,N/A,"$8,300",Well Go USA,"September 13, 2013",Romance,1 hrs. 24 min.,R,N/A,N/A,Kate Bosworth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andre,N/A,N/A,"$33,923,500",Paramount,"August 19, 1994",Family Adventure,1 hrs. 34 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andre Gregory:<br/>Before and After Dinner,N/A,N/A,"$43,900",Cinema Guild,"April 3, 2013",Documentary,1 hrs. 48 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrei Tarkovsky Retrospective,N/A,N/A,"$251,700",Kino,"September 13, 2002",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anesthesia,N/A,N/A,"$26,300",IFC,"January 8, 2016",Drama / Thriller,1 hrs. 30 min.,R,N/A,"$26,799",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angel,N/A,N/A,"$43,877,600",New World,"January 13, 1984",Action Thriller,1 hrs. 34 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
An Angel at My Table,Jane Campion,N/A,"$2,111,800",Fine Line,"May 17, 1991",Drama,2 hrs. 36 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angel Eyes,N/A,N/A,"$36,005,100",Warner Bros.,"May 18, 2001",Romance,1 hrs. 42 min.,R,$53 million,"$29,715,606",Jennifer Lopez,James Caviezel,Terrence Howard,N/A,N/A,N/A,Mark Canton,Don Carmody,N/A,N/A,N/A,N/A,Gerald Di Pego,N/A,Marco Beltrami,N/A
Angel Heart,N/A,N/A,"$37,052,400",TriStar,"March 6, 1987",Horror Thriller,1 hrs. 53 min.,R,$17 million,N/A,Mickey Rourke,Robert DeNiro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trevor Jones,N/A
Angel Town,N/A,N/A,"$1,705,500",Taurus Ent.,"February 23, 1990",Action,1 hrs. 42 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angel-A,Luc Besson,N/A,"$248,300",Sony Classics,"May 25, 2007",Foreign,1 hrs. 31 min.,R,N/A,"$9,995,168",N/A,N/A,N/A,N/A,N/A,N/A,Luc Besson,N/A,N/A,N/A,N/A,N/A,Luc Besson,N/A,N/A,N/A
