title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
50 Ways of Saying Fabulous,N/A,N/A,"$6,200",Olive Films,"June 2, 2006",Drama,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50/50,Jonathan Levine,N/A,"$37,175,000",Summit Entertainment,"September 30, 2011",Comedy / Drama,1 hrs. 39 min.,R,$8 million,"$39,187,783",Seth Rogen,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,N/A,N/A,Evan Goldberg,Will Reiser,Seth Rogen,N/A,N/A,N/A,Will Reiser,N/A,Michael Giacchino,N/A
51 Birch Street,N/A,N/A,"$109,000",Truly Indie,"October 18, 2006",Documentary,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52 Pick-Up,N/A,N/A,"$11,785,300",Cannon Films,"November 7, 1986",Unknown,1 hrs. 50 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54,N/A,N/A,"$30,120,000",Miramax,"August 28, 1998",Drama,1 hrs. 26 min.,R,N/A,N/A,Ryan Phillippe,Salma Hayek,Neve Campbell,Mike Myers,Breckin Meyer,Justin Bartha*,Don Carmody,Bobby Cohen,N/A,N/A,N/A,N/A,N/A,N/A,Marco Beltrami,N/A
56 Up,N/A,N/A,"$741,100",First Run,"January 4, 2013",Documentary,2 hrs. 24 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 5th Quarter,N/A,N/A,"$437,800",Rocky Mountain Pictures,"March 25, 2011",Drama,1 hrs. 41 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 5th Wave,N/A,N/A,"$34,295,800",Sony / Columbia,"January 22, 2016",Sci-Fi Action,1 hrs. 52 min.,PG-13,$38 million,"$109,906,372",Chloe Moretz,Ron Livingston,Liev Schreiber,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Henry Jackman,N/A
5x2,N/A,N/A,"$169,300",ThinkFilm,"June 10, 2005",Foreign,1 hrs. 30 min.,R,N/A,"$7,444,906",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6 Month Rule,N/A,N/A,"$14,600",Secret Identity,"June 1, 2012",Comedy,1 hrs. 39 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6 Souls,Mars Marlind,Bjorn Stein,N/A,Radius-TWC,"April 5, 2013",Horror Thriller,1 hrs. 52 min.,R,N/A,"$851,517",Julianne Moore,Jonathan Rhys Meyers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 6th Day,N/A,N/A,"$54,089,400",Sony / Columbia,"November 17, 2000",Sci-Fi Action,2 hrs. 4 min.,PG-13,$82 million,"$96,085,477",Arnold Schwarzenegger,Robert Duvall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trevor Rabin,N/A
The 6th Man,N/A,N/A,"$27,131,700",Buena Vista,"March 28, 1997",Sports Comedy,1 hrs. 49 min.,PG-13,N/A,N/A,Marlon Wayans,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7 Boxes,N/A,N/A,"$40,300",Breaking Glass Pictures,"February 7, 2014",Foreign / Action,1 hrs. 40 min.,Unrated,N/A,"$305,006",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7 Chinese Brothers,N/A,N/A,"$28,800",Screen Media,"August 28, 2015",Comedy,1 hrs. 16 min.,Unrated,N/A,N/A,Alex Ross Perry,Jason Schwartzman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7 Dias,N/A,N/A,"$20,600",Xenon Pictures,"August 17, 2007",Foreign,1 hrs. 35 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7 Khoon Maaf,N/A,N/A,"$289,800",UTV Communications,"February 18, 2011",Foreign,2 hrs. 17 min.,Unrated,N/A,"$364,931",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
'71,N/A,N/A,"$1,291,300",Roadside Attractions,"February 27, 2015",War Drama,1 hrs. 39 min.,R,N/A,"$1,625,847",Jack O'Connell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71 Into the Fire,N/A,N/A,"$193,100",JS Media &amp; Entertainment,"July 30, 2010",War,2 hrs. 0 min.,Unrated,N/A,"$20,967,660",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7500,N/A,N/A,N/A,CBS Films,TBD,Thriller,N/A,PG-13,N/A,"$2,871,035",Jamie Chung,N/A,N/A,N/A,N/A,N/A,Roy Lee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7th Street,N/A,N/A,"$21,900",Paradise Acres,"January 17, 2003",Documentary,1 hrs. 11 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
